24371,11661,1
24371,18756,1
24371,12848,1
24371,7939,1
24371,9560,1
24371,10848,1
2641,30572,1
2641,458,1
29123,22325,1
29123,25682,1
29123,20970,1
29123,20612,1
29123,17207,1
29123,30904,1
19118,27072,1
19118,8449,1
19118,18970,1
19118,12259,1
19118,14284,1
19118,1305,1
22001,11219,1
22001,23989,1
22001,9218,1
22001,24139,1
22001,1711,1
22001,25999,1
11493,7830,1
11493,21858,1
11493,24858,1
11493,9602,1
11493,22731,1
11493,5545,1
2530,7738,1
2530,17446,1
2530,13080,1
2530,536,1
2530,3563,1
2530,28035,1
12741,27845,1
12741,14646,1
12741,22471,1
12741,11658,1
12741,24822,1
12741,19140,1
20524,10232,1
20524,22738,1
20524,25214,1
20524,26214,1
20524,20166,1
20524,15197,1
326,18551,1
326,18658,1
326,26690,1
326,3620,1
326,17999,1
326,1731,1
12807,22509,1
12807,12984,1
12807,9860,1
12807,14434,1
12807,30318,1
12807,19571,1
5882,8097,1
5882,1423,1
5882,24819,1
5882,14488,1
6002,8386,1
6002,28027,1
6002,10366,1
6002,31129,1
6002,22198,1
6002,21782,1
886,22634,1
886,17373,1
886,9109,1
886,5924,1
886,5057,1
886,16820,1
3611,31444,1
3611,31045,1
3611,23653,1
3611,10736,1
3611,13121,1
3611,14887,1
3185,14260,1
3185,6153,1
3185,30930,1
3185,2731,1
3185,17799,1
3185,16272,1
30301,3994,1
30301,8077,1
30301,7683,1
30301,1805,1
30301,14612,1
30301,14278,1
7445,7859,25
7445,19810,25
7445,21588,25
7445,10859,25
7445,9471,25
7445,30352,25
14183,24860,1
14183,30835,1
14183,5315,1
14183,28988,1
14183,25248,1
14183,2415,1
29568,2490,1
29568,7771,1
29568,27096,1
29568,9662,1
29568,29646,1
29568,30427,1
372,6836,1
372,11185,1
372,28753,1
372,24702,1
372,11777,1
372,26608,1
28508,4563,1
28508,13560,1
28508,14275,1
28508,9346,1
28508,14142,1
28508,1955,1
21550,4871,1
21550,25233,1
21550,20491,1
21550,9392,1
21550,17708,1
21550,6787,1
16172,16496,1
16172,18956,1
16172,27788,1
16172,10333,1
16172,24540,1
16172,5791,1
20303,29105,1
20303,1560,1
20303,12588,1
20303,11926,1
20303,17779,1
20303,5220,1
13620,17109,1
13620,14225,1
13620,11581,1
13620,19307,1
13620,5153,1
13620,23462,1
418,24951,1
418,26531,1
418,13435,1
418,15795,1
418,25852,1
421,20156,1
421,4455,1
421,5746,1
421,2172,1
421,20657,1
421,23407,1
6082,23196,1
6082,21521,1
6082,11358,1
6082,22290,1
6082,22297,1
6082,30640,1
11145,10784,1
11145,9844,1
11145,10291,1
11145,24799,1
11145,23453,1
11145,13737,1
2609,1036,1
2609,24641,1
2609,12326,1
2609,9742,1
2609,6834,1
2609,29685,1
5231,17685,1
5231,5911,1
5231,23316,1
5231,19263,1
5231,20516,1
5231,19153,1
22777,9229,1
22777,12074,1
22777,24295,1
22777,3363,1
22777,1059,1
22777,16999,1
19859,7514,1
19859,18747,1
19859,1119,1
19859,2370,1
19859,10903,1
19859,14131,1
10678,28500,1
10678,28360,1
10678,5129,1
10678,11498,1
10678,4494,1
10678,18348,1
24839,15785,1
24839,16180,1
24839,22142,1
24839,22051,1
12593,15499,1
